start	end	text
286000	294000	No i nie robiłem tego programowania i tak powoli się zaczęło robić coraz gorzej, coraz gorzej, coraz gorzej i się ucięło tak naprawdę.
294000	296000	Musiałem przerwać studia, bo...
296000	297000	Na drugim roku, tak?
297000	305000	Na drugim roku, tak. Dokładnie miałem, bo myślałem, że uda mi się wskoczyć na drugi rok mając jakieś tam tu czwórka, tam coś,
305000	307000	tam jakieś oceny, że mnie przepuszczą.
307000	311000	Okazało się, że nie miałem tyle punktów, co było wymagane. Gościu jest out.
311000	322000	No i później wyjechałem sobie na sezonową pracę do Anglii, na truskaweczki.
322000	326000	Piękna praca, która uczy charakteru.
326000	327000	Charakteru uczy, na pewno.
327000	329000	Wiesz, niskie zbieranie i tak dalej.
330000	331000	Pojechaliśmy tam.
331000	337000	No i tam ja wiedziałem, jakby miałem świadomość, że wyjeżdżam tylko na sezonowe i zacznę po prostu jeszcze raz od pierwszego roku.
337000	340000	Myślałem, że zacznę od drugiego, nie udało się, więc musiałem zacząć od pierwszego roku.
340000	342000	Miałem proste dłuższą przerwę.
342000	348000	W tym czasie robiłem jeszcze certyfikat właśnie CCNA w Toruniu, czyli tam cztery semestry całe.
348000	355000	To był taki porządny jakby kurs, można powiedzieć, przygotowujący do tych narzędzi tam Cisco i dookoła.
355000	356000	Online, tak?
356000	359000	Nie, nie, to było w ogóle na Uniwerku w Toruniu.
362000	363000	Mamy czas, tak?
365000	366000	Tak, tak.
366000	368000	Nie, nie, opowiadaj, właśnie to jest ciekawe.
368000	372000	Dobra, nie wiem właśnie jak mogę daleko pływać, ale też mi się wydaje, że to jest...
372000	374000	Właśnie super, bo każdy ma, widzisz, inną drogę.
374000	381000	Ja też się bujałem od studiów do studiów i właśnie super jest to usłyszeć z twojej perspektywy, jak u ciebie to się rozwijało.
382000	390000	No bo też może fajnie jakby, nie wiem, dojdziemy trochę dalej jakby, gdzie teraz jesteśmy i przez co przeszedłem,
390000	398000	to też będzie widać, że wiadomo, że to nie jest tak, że nie wiem, musisz być jakimś powiedzmy na danym etapie życia Ekstra Liga,
398000	406000	że wiesz, że jesteś najlepszym programistą w drużynie i wiadomo, że ten gościu będzie mistrzem i wiadomo.
407000	414000	Tak, bo ja też jak przeszedłem na pierwszy rok studiów programowania, to sami spoceńcy byli tak zwani.
414000	422000	Po prostu gościu trzepał już po trzech miesiącach na programowanie i już oddawał jakąś grę na projekt.
422000	427000	A ja tam wiesz, ledwo kumałem podstawy, bo tak samo nie miałem programowania na zajęciach.
427000	435000	U nas w szkole informatyka to był Paint, może trochę Worda i CS GO, czy tam CS 1.6 wtedy.
435000	442000	I to było wszystko. Także fajnie właśnie, że opowiadasz o tym i mówisz, że ta droga nie jest taka prosta,
442000	447000	jak każdy sobie wyobraża, że wiesz, że musisz być od razu techniczny, od razu nastawiony na to,
447000	453000	że będziesz informatykiem, programistą, tylko to nie jest takie proste. Są wzloty i upadki.
453000	459000	Wiadomo, że musisz być ostro determinowany na przestrzeni. To jest taki maraton.
459000	464000	To nie jest, że jakaś jedna twoja błędna decyzja zaważy o tym losie.
464000	469000	No wiadomo, właśnie tutaj idąc dalej, teraz jak poszedłem, mieliśmy tę pracę sezonową.
469000	475000	W jakiś sposób mnie tam złapali, wyłapali, że trochę miałem lepszy ten angielski niż reszta.
475000	481000	Na tych truskawkach poziom nie był za wysoki, więc miałem pole do popisu.
481000	486000	Mimo, że nie był tu jakiś tam poziom nie wiadomo jaki, to jest też najlepsze,
486000	492000	bo ja angielski też miałem trochę jakby na zasadzie, a może nie trzeba w latach,
492000	497000	kiedy ja tam powiedzmy byłem na pierwszym podstawówce.
497000	500000	No i to był też zaniedbany temat, ale jakby sobie go nadrobiłem,
500000	504000	bo wiedziałem, że trzeba będzie może spróbować tej Anglii.
504000	514000	No i na tych truskawkach mnie wyłapali do firmy, to była tak zwana Agencja Pośrednictwa Pracy,
514000	518000	którzy szukali na truskawki, szukali na tego typu prace, na takie prace sezonowe.
518000	522000	No i mnie tam wyłapali, nagle musiałem się przebrać z krótkich spodanek na garnitu,
522000	529000	pierwsze zakupy na zasadzie, dobra jedźmy najtańsze, co będzie ubrane pięknie, mogę wchodzić do biura.
529000	532000	Przeszedłem jakieś tam trzy dni próbne, powiedzieli okej, dawaj.
532000	539000	No i zamiast w zasadzie robić na tych truskawkach, ja już po jakimś tam półtora miesiąca
539000	551000	robiłem w tym biurze i tak naprawdę tam była sytuacja, że zostawili mi propozycję,
551000	555000	czy chcę zostać u nich, dostanę tam powiedzmy podwyżkę i mogę się rozwijać.
555000	560000	No jakby Agencja Pośrednictwa Pracy, ludzie pracujący tam wiem, że dobrze też zarabiają,
560000	563000	oni mają marże, oni mają, dobrze sobie żyją.
563000	573000	Widać to nawet na przykładzie IT, jak fajnie ludzie, którzy siedzą z tym, jest ich profesją, zawód.
573000	576000	A ile miałeś lat wtedy?
576000	580000	Kurczę, pewnie z 19, 20, coś takiego.
580000	584000	I jakie to były wtedy pieniądze?
584000	590000	No zarabiałem lepiej niż na truskawkach, a na truskawkach szło też dobrze zarobić.
590000	598000	Pamiętam, że na truskawkach w takim najlepszym piku można było zebrać 60-70 funtów dziennie.
598000	601000	No to wtedy też była kasa.
601000	608000	No to było fajnie, przyjeżdżałeś i mogłeś sobie fajnie tam coś zakupić takiego konkretnego po tym.
608000	616000	Mimo, że tam trzeba było też oczywiście wydać te pieniądze na utrzymanie, ale jakby relatywnie to była spoko kasa.
616000	619000	No i ta zachęta była jednak.
619000	632000	W zasadzie teraz mi oferują podwyżkę, praca w biurze, gdzie mi się powiedzmy średnio śniło po siedzeniu w truskawkach uwalony po kolana.
632000	639000	No ale jakby trochę przez wzgląd na właśnie jakby, wiedziałem, że tą IT chciałbym jeszcze spróbować zrobić.
639000	641000	Mówię, narobić się jeszcze zdążymy.
641000	645000	Jak będę chciał pracować gdziekolwiek, to będzie na to jeszcze czas.
645000	649000	I wróciłem jeszcze raz na studia, na to samo studia.
649000	656000	To było jakoś chyba na pierwszy rok, ale udawało mi się tam od razu pewne rzeczy pozaliczać.
656000	663000	Jak miałem czwórkę i wyżej z niektórych przedmiotów, a były też takie przedmioty, to po prostu profesorowie czy tam doktorzy się zgadzali na zasadzie
663000	669000	dobra, przypiszemy Ci i nie musiałem chodzić, ale robiłem to z CCNA.
669000	671000	Ale wróciłeś do Poznania?
671000	678000	Do Poznania i tam już miałem troszeczkę inny jakiś taki błysk na zasadzie nie, nie, nie.
678000	683000	Ja nie chcę być już, ja już tam nie chcę przejść tak po lewej stronie z kumplami.
683000	688000	Coś tam tylko mówię dobra, ja spróbuję, czy programowanie to jednak może jest dla mnie.
688000	691000	Miałem taką książkę C-Sharpa, taką grubą Biblię.
691000	694000	Nie wiem ile tam pięćset, osiemset stron.
694000	701000	I ja sobie ją już zacząłem wcześniej dziergać i tak po kolei jakieś tam modułki, coś sobie zacząłem pokodzić.
701000	703000	To był C-Sharp, tak.
703000	705000	I zaczęło mi to wychodzić, nie.
705000	715000	I zajarałem się tym, że ty patrz, tutaj coś napiszesz, jakieś trzyniki i nagle z tego wychodzi, nie wiem, jakieś tam coś się rusza, coś tam się oblicza itd.
715000	717000	Pamiętasz swój pierwszy projekt?
718000	726000	Projekt, taki projekt, no nie chciałbym o nim nawet rozmawiać, bo tam były takie zboczone projekty, ja bym to nazwał, na studiach.
726000	734000	Że jakiś tam łazik, kurde, w sensie, na zasadzie oni to nazywali łazik, ale to chodziło o to, że jakieś, po prostu jakaś szachownica na zasadzie,
734000	743000	że tam przechodziły, jedynki zera się zamieniały i to było trzeba kolorować i to po prostu sobie tam chodził w ramach jakiegoś kwadratu.
743000	745000	Typowo techniczne sprawy.
745000	754000	Tak, techniczne, one miały jakieś oczywiście podstawy matematyczne itd., których nie potrafiłbym powiedzieć, bo jakby bardziej do tego podszedłem praktycznie.
754000	757000	Zrób to i do widzenia.
757000	765000	Ale tam już jakby udało mi się przez to, że trochę zacząłem tego programowania, to też podpiąłem się trochę pod takich lepszych ludzi.
765000	774000	Ja byłem lepszy z punktu widzenia, którzy robili tę robotę, no bo wiadomo, że na studiach wszędzie w szkole będziesz miał ludzi, którzy wolą kamieniami rzucać i się bawić,
774000	777000	a drudzy, którzy będą jednak coś tam się uczyć i wydaje się, że...
777000	782000	No i to drugie podejście już miałem takie, nie, nie, dobra, teraz wybierzemy to trochę inaczej.
782000	786000	No jakoś się udało, że się spasowaliśmy z kumplami.
786000	796000	Pamiętam taki Floras, który był, zapierdzielał naprawdę dobrze, programował fajnie i jakby z nim później też robiliśmy te projekty razem
796000	803000	i to nie było na zasadzie, że dobra, ty zrób, a ja się dołączę, bo można tak przejść, tylko już było na zasadzie, nie, nie, ja też chcę swoje rzeczy
803000	808000	i ja też chcę się włączać, no i nie ukrywam, było już dużo łatwiej.
808000	815000	Na tych studiach było tak, że po prostu miałeś jakiś projekt, zrobiliśmy jakiś większy projekt, który można było później lansować, trochę podopinać moduły
815000	819000	i on podpasił ci pod jakąś logikę albo inne przedmioty, nie.
819000	827000	No i tyle, no i później już nie było sytuacji, w której byłem, nie byłem nigdy, nie powiedziałbym, że nigdy nie byłem jakimś tam wyróżniającym się, wiesz,
827000	831000	programistą, który jakby jest na czele i będzie olimpiady zdobywał, nie.
831000	840000	Nie ma, nie ma opcji, tylko że z punktu widzenia teraz już, z perspektywy czasu widzę, że to też nie jest najważniejsze, nie, że jak masz,
840000	847000	jak jesteś bardziej cross-functional, że jesteś w stanie, na przykład ja jestem dobry pod kątem tych kwestii biznesowych, zrozumienia biznesu i tak dalej,
847000	854000	to nierzadko jest ważniejsze niż po prostu płynąć, specjalizować się tylko wąsko, wiesz, ja jestem techniczny guru i...
854000	855000	Oczywiście.
855000	861000	Bo to też trzeba przełożyć na świat, to też trzeba umieć zrozumieć te problemy biznesowe i tak dalej.
861000	873000	No i tyle, no studia powiedzmy, już na trzecim roku studiów złapałem pracę w takiej dziwnej firmie w Poznaniu, w dziwnej w sensie, bardzo małej firmie,
873000	877000	w jakiejś kamienicy przy Jeżycach.
877000	878000	Polski startup.
878000	890000	Polski startup, dokładnie. Rzeczywiście ciekawy, bo właściciel miał duży projekt, on dostał Rossmana i robiliśmy,
890000	901000	no dosłownie nas było trzech plus minus i dostaliśmy projekt na zasadzie całym portal Rossmana zrobić na nowo, gdzie Rossman już wtedy był w miarę rozdmuchany,
901000	908000	ale no wiadomo, teraz to już poszedł totalnie. No i trzeba było zrobić cały portal tam, czyli te moduły tam urody i tak dalej.
908000	917000	To było na SP.net i tam miałem szczęście, że trafiłem do takiego zarąbistego, doświadczonego łebka, taki Łukasz Ola Jarczuk,
917000	927000	który teraz jest też co-founderem chyba albo po prostu jest wspólnikiem w jakichś firmach, które robią apki mobilne w Poznaniu.
927000	935000	No gościu taki po prostu, który jakby był idealnym mentorem na zasadzie, że wiesz, robiłeś, po łapkach dostałeś, tutaj nie, tu rób tak i tak dalej.
935000	949000	No ja swoje rzeczy tam powiedzmy wykonywałem i ta praca się fajnie tam powiedzmy jakoś szła do przodu i to był rok, gdzie spędziłem u nich jakieś frameworki,
949000	957000	potem robiliśmy dotknętni Łuka, jakieś technologie zupełnie inne. Patrzę na czas, teraz jeszcze spokojnie.
957000	971000	Na spokojnie, na spokojnie, ja tylko tutaj tak trochę kontroluję, żebyśmy wiesz dzisiaj się wyrobili, ale ja bardzo się cieszę, że o tym mówisz i właśnie opowiadasz o tych,
971000	979000	właśnie, że ta droga, bo każdy mi się wydaje jak idzie na studia, to myśli sobie, że wszystko musi być, wiesz, ornuk niemiecki, wszystko musi być zrobione krok po kroku,
979000	992000	muszę mieć same piątki, szóstki, żeby być tą osobą, która później będzie stawiać jakieś zaawansowane systemy, a liczą się też właśnie te miękkie umiejętności
992000	1006000	i później właśnie też na drodze programisty, to kto wie, czy nie liczą się trochę bardziej, właśnie, bo część jest ludzi, którzy nie potrafią kompletnie zrozumieć czym jest ten biznes i na czym on polega,
1006000	1010000	ale potrafią trzaskać niesamowicie techniczne aspekty takich projektów.
1010000	1026000	No, to jest na pewno prawda. To widać jakby, mówię, po latach tam funkcjonowania, zresztą jakby patrząc teraz na te nowe technologie, wiesz, AI i tak dalej, że zaraz w zasadzie te soft skills będą ważniejsze niż wyrycie.
1026000	1028000	To jest ciekawe.
1029000	1041000	Nie wiesz, no ci programiści, jakby myślisz, że programista, taki lajk, który nie wie co robi programista, myśli, że programista tu siedzi, on te wyniki kodu sam gdzieś tam czaruje i tak dalej.
1041000	1055000	A wiadomo, że chodzi przeglądarka stale, wykorzystywane są gotowce, forum otwierane, 10 forum, szukamy tego, pokaż jak zrobić parsowanie, jak zrobić tamto i po prostu wyciągasz gotowce i później to się modyfikuje.
1056000	1068000	Jak wiemy, nie za chwilę już jesteśmy w stanie z tego korzystać, po prostu pytając naszego starszego wujka Jaja, słuchaj, daj mi tutaj parsowanie w javascriptzie takie i takie.
1068000	1078000	Jak widzisz, po prostu je obrobisz sobie, to jest bardziej obróbka ze skrawaniem, a nie pełne mużdżenie, jak to od zera napisać.
1078000	1093000	No wiadomo, to nie jest tak jak na studiach, że na studiach musisz na egzaminie tu i teraz wiedzieć to z bańki i napisać to jak mówisz, wiesz, linijki kodu na papierze, że wiesz, że to umiesz, tylko musisz umieć się odszukać tym wszystkim, co jest ciekawe.
1093000	1097000	I co, startup w Poznaniu, tak? I później co dalej?
1097000	1104000	No i później to był Poznań, to były czasy Poznania, ale oczywiście też Toruń przez względ na moją ówczesną dziewczynę, teraz żonę.
1104000	1111000	Mieliśmy, było to takie rozdarcie pomiędzy właśnie Poznaniem a Toruniem ciągle.
1111000	1125000	Koniec już studiów, właściwie inżynierka, wymyśliłem sobie z kumplem jakiś fajny projekt, że robimy system rezerwacji miejsc w restauracji, w Silverlight'cie w ogóle, technologia, która umarła.
1125000	1133000	Ale oczywiście tam już jakby na tym etapie było, już wiedziałem, że to będzie Microsoft, że to będzie C Sharp, że to będzie Visual Studio, to nie będzie Eclipse, to nie będzie Java.
1133000	1149000	Może mieliśmy, ja wszystkie przedmioty nawet, które mieliśmy, jakieś tam rzeczy robiłem, bo mieliśmy pamiętam jedną panią doktor Cybulkę, która jakby z tego co kojarzę chciała mocno javowe tematy, więc tam jakby robiliśmy.
1149000	1166000	Poza tym, nie, to było wszystko jakby już Microsoft, wiedziałem, podobało mi się to właśnie, że to wykorzystanie biznesu, jakby umiejętności i rozumienia biznesu, przełożenie tego, to nie jest takie gołe, to jest wszystko Enterprise, Corporate i tak dalej.
1166000	1186000	Więc jakby na szczęście udało mi się tam zahaczyć. No Silverlight właśnie, to było ciekawe, że technologia, która powstawała, ona była na rozwiązania mobilne, na weby też, ale robiło się tak jak Adobe, jakieś tam animacje i tak dalej, to była odpowiedź Microsoftu.
1187000	1203000	Po czasie okazało się, że to nie był trafny wybór, ale Silverlight pozwolił mi raz, znaczy obroniłem, zdałem egzamin tam inżynierski, dostałem dobrą, niesłabą cenę, doktor promotor bardzo podobało mu się nasze rozwiązanie.
1203000	1228000	Oczywiście nie było produkcyjnie gotowe, ale dużo dopowiedzieliśmy, sprzedaliśmy i co? Na tym Silverlightowym doświadczeniu plus ASP.NET, IT.NET Nuke, Rosemary i tak dalej, to udało mi się znaleźć pracę w firmie, to była firma Jade, ówcześnie się nazywała, taki Gold Partner Microsoftu z Torunia.
1228000	1229000	Jade.
1229000	1230000	Jade.
1230000	1231000	To nie jest jak do Jade.
1231000	1260000	Nie, to było nazwisk dwóch założycieli i później drugi właściciel firmy jakoś się wycofał i wszedł na jego miejsce inny, w ogóle fajna firma, generalnie to była firma i to była też ciężka decyzja, czy ja chcę się przenosić z Poznania do Torunia, jakby Poznań trochę miasto doznań, duże miasto, sam zresztą wiesz.
1261000	1262000	Tak, wiem.
1263000	1264000	I jakby...
1264000	1265000	Bud da bar?
1265000	1266000	Tak.
1266000	1290000	I po prostu tam jakby wydawało mi się, że nie, nie, ja chcę w dużym mieście, ja nie chcę, po prostu podobało mi się tam życie, jakbym mógł jeszcze dobrze tam pracować, tylko mówię, tamtą firmę obecną, którą miałem, ona się trochę kończyła, już było widać, że tam się sypało strasznie, bo oni dostali za duży projekt na skalę i tak dalej, oni się po prostu wysypali.
1290000	1301000	No i w tym czasie dostałem tę ofertę w Toruniu i stwierdziłem w sumie, że czemu nie, przenosimy się do Torunia, będzie bliżej, nie będę musiał tyle kursować.
1301000	1321000	Firma wydawała się być fajna, mówię, Gold Partner Microsoftu, szeroki front plans, oni mieli zdobyty bardzo fajnie rynek, jeśli chodzi o klientów dużych, bo tam były Orange'e, tam były jakieś tam firmy farmaceutyczne, największe, ówczesne, Marsy jakieś, te od Batonów i tak dalej.
1321000	1324000	Bo Marsę pamiętam, jak mówiłeś.
1325000	1334000	Ciekawe, w ogóle nie wiedziałem, że Mars był właścicielem Snickersa, że to z Marsa wychodziło wszystko, Milky Way i tak dalej.
1334000	1336000	Ja myślałem, że na odwrót.
1336000	1341000	Ja też myślałem, że Snickers jednak wygrywa, a to okazuje się, że jednak nie.
1341000	1357000	Tam zacząłem pracować, też znowu trafiłem w fajnych ludzi na tamtym lata, jak teraz patrzę, że ta polska siła się śmieje zawsze, że naprawdę tam był, nie wiem, po pierwsze właściciele, super, Michał i Rafał,
1358000	1364000	jakby mocno charyzmatyczni, ogarnięci, tam wiesz, pływali po tym całym świecie.
1364000	1370000	Firma Scala, mniej więcej 50 osób w tamtym czasie w Toruniu.
1370000	1372000	Fajne biuro, fajni ludzie.
1372000	1380000	Ja w ogóle zacząłem jakoś w Silverlight, teoretycznie. Robiłem jakieś mobilki na Windows Phone'a.
1380000	1383000	Starego dobrego Windows Phone'a.
1383000	1394000	Starego dobrego i lansowałem go też, mówię, że to jest telefon, który wyprzedzi iPhone'y i w ogóle, że sam miałem zresztą na swoje potrzeby i też po to, żeby trochę testować te apki.
1394000	1397000	To były czasy Windows 8 wtedy?
1397000	1398000	To jeszcze wcześniej było.
1398000	1399000	A jeszcze wcześniej?
1399000	1400000	Tak, tak.
1400000	1402000	To była chyba jeszcze siódemka, mi się wydaje.
1402000	1404000	No, no, no.
1404000	1407000	I co, robiłeś tam aplikacje na Windows Phone'a?
1407000	1417000	No, jakieś tam parę aplikacji, oni na Marketplace chcieli wchodzić, bo była jakaś tam pula, jakaś chęć sprawdzenia, czy może to jest, skoro to była firma Microsoftowa,
1417000	1421000	pewnie Microsoft mówił, nie, nie, musimy tu mieć Marketplace zrobiony, róbcie apki.
1421000	1429000	Robiliśmy jakieś tam dziwne gierki, bardziej gierki na zasadzie, że tam jakieś, już też nie pamiętam dokładnie, jakie to były apki.
1429000	1442000	Ale szybko okazało się, że to nie idzie w dobrą stronę, że ta inwestycja jednak się nie zwróci, więc stwierdzili, że mnie wrzucą na CRM'a na początku.
1442000	1452000	Wersja jakaś czwórka Dynamics, to się nie nazywało Dynamics, to się nazywało Microsoft CRM po prostu chyba, jeszcze ówcześnie.
1453000	1465000	Wersja numer cztery i to było też w sumie dziwnie zrobione, wszystko bez szczegółów, ale generalnie dużo było SQL'a, transakcji, procedury składowalne.
1465000	1470000	To był taki dziwny system, który robiliśmy właśnie dla też jakiegoś dużego klienta.
1470000	1476000	To było bardzo dużo napisane w bazie danych, co już teraz się nie robi, nawet wcześniej się pewnie nie robiło.
1476000	1482000	Ale ja byłem świeżak, wchodzisz, tutaj masz seniorów, oni mówią co robimy, jedziemy z tym.
1482000	1491000	Tak zrobiliśmy, realizowaliśmy te tematy i tam później skakałem pomiędzy, tak naprawdę przez te trzy lata plus, czy cztery nawet,
1491000	1498000	programistycznie pomiędzy CRM'em, SharePoint'em, tym Silverlight'em na samym starcie.
1498000	1509000	Później mieliśmy javascriptowe tematy, jakieś Knockout.js, framework. Robiliśmy portale dla jakichś wyszukiwarek linii, nie wyszukiwania linii, tylko lotów.
1509000	1514000	Jakiś taki portal duży, w którym też był napisany frontend i backend. My robiliśmy dużo frontend.
1514000	1517000	Właściwie robiliśmy obie części, tylko inny kolega był.
1517000	1524000	Mówię, no też miałem właśnie fajnie, że ja tam trafiłem na takich spoko mentorów, bym powiedział taki Bartas, który był bardziej UI'owy.
1524000	1532000	On miał zdolności tam usability, interface i tak dalej i u niego byłem, pod jego wodzą byłem właśnie w tym Windows Phone'ie.
1532000	1541000	A później przeszliśmy, jak już tam się okazało, że to nie jest dobry kierunek, no to bardziej właśnie te portale, jakieś user journeys i tak dalej.
1541000	1552000	No i też taki, nie wiem, pamiętam Sławek, zawsze się śmiejesz, to był mój guru taki programistyczny, który po prostu siedział na suchoweczkach i tam naparzał.
1552000	1561000	Był naprawdę ogarnięty, zresztą na dzisiaj jest, ale fajnie było, że można było się dużo tego nauczyć.
1561000	1569000	No i te lata tam mijały, ja trochę zostawałem promowany, moja chęć, głód, ja chcę więcej, ja chcę więcej.
1569000	1579000	Raz, że kasy, dwa, że robiłem mnóstwo rzeczy, bo robiliśmy ASP.netowe rzeczy, javascriptowe, sharepointowe.
1579000	1589000	W takiej konsultingowej miałem możliwość spojrzenia na cały to spektrum Microsoftowego ekosystemu i to przełożyć z dużych, ogromnych firm.
1590000	1594000	Nie pamiętam z głowy, że tak powiem, CV, ale my naprawdę robiliśmy ciekawe rzeczy.
1594000	1599000	No i tam później zostałem aż promowany do tzw. architekta.
1599000	1603000	Czyli ile lat minęło od studiów?
1603000	1608000	Studiów, no to rok miałem tam 4-5 lat.
1608000	1616000	Czyli tak, czyli po pięciu latach takiego bardziej kręcenia się i brania odpowiedzialności na siebie większej i poznawania ludzi,
1617000	1622000	no twój awans był dużo bardziej owocny niż jakbyś poszedł powiedzmy klasyczną drogą programisty.
1622000	1627000	Gdzieś w jakiejś firmie został zatrudniony, trzymał się jej, kurczował.
1627000	1639000	Zdecydowanie, bo patrzę nawet teraz jak nam wpadają CV-ki, że niektórzy ludzie po 5-6 lat są, po prostu są, programują cały czas.
1639000	1648000	Jest senior jakiś tam deweloper tu czy tu i tak wygląda ta ścieżka, że oczywiście rozwija się w różnych technologiach i tak dalej.
1648000	1659000	Nic nie ujmując jakby tak, no bo nie każdy chce mieć więcej do czynienia z biznesem, co jest często trudniejsze niż po prostu zaszywam się w pokoju,
1659000	1666000	zrobię swoje user stories jedno, drugie, dziesiąte, skodzę, job done i tyle.
1667000	1675000	Najważniejsze jest to, żebym miał jak najmniej tych bugów i tyle, że się nie dogadał analityk z architektem, z biznesem i vice versa,
1675000	1678000	no to nie dotyczy tak do końca.
1678000	1688000	Więc na pewno to, że to jednak była ta droga programistyczna, ta droga Microsoftowa, która jest bardziej taka enterprise'owa
1688000	1695000	i też jednak, że ja tam się dosyć ostro poświęciłem, nie ukrywam, że jakby certyfikowałem się też mocno.
1695000	1701000	Właśnie Microsoft ma te fajne ścieżki, że możesz sobie te certyfikaty robić, one teraz się wydają takie bezsensowne,
1701000	1706000	a dla mnie to był taki badge, że wiesz, że zrobiłem to i dostaję puchar i po prostu sobie go odrukuję i mówię,
1706000	1712000	wow, mam, jestem jakiś tam associate developer, solution expert i tak dalej.
1713000	1718000	I to było fajne, oczywiście dla konsultingu to też było dobrze, bo Microsoft to promuje, więc to ręka rękę myje,
1718000	1724000	ale sam jakby wiedziałem, że ja to robię, później mówię, później poszło to bardziej już taki pre-sale,
1724000	1732000	bo mam te umiejętności, co mówię, miękkie i sprzedażowe i bardziej biznesowo, analityczne i tak dalej,
1732000	1736000	co pozwoliło mi na to, żeby na przykład być bliżej sprzedaży,
